scenario,scenario_label,horizon,design,metric,dose,is_kstar,mean,se,lo,hi
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,3 + 3,Recommended,1,False,4.424,0.5732760939057582,3.350975,5.589
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,3 + 3,Recommended,2,False,21.053,1.2347594666571702,18.644925,23.467624999999998
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,3 + 3,Recommended,3,True,28.185,1.2794275980698169,25.611974999999997,30.74745
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,3 + 3,Recommended,4,False,36.325,1.439550772304347,33.463825,38.9933
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,3 + 3,Recommended,5,False,9.889,0.8998213972577906,8.167925,11.585275000000001
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,3 + 3,Recommended,6,False,0.124,0.012969414663612107,0.1,0.15
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,3 + 3,Allocated,1,False,4.424,0.5680017735982962,3.35495,5.68605
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,3 + 3,Allocated,2,False,21.053,1.215106073084917,18.738975,23.4572
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,3 + 3,Allocated,3,True,28.185,1.4055275536623617,25.412925,30.977375
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,3 + 3,Allocated,4,False,36.325,1.4619154169274808,33.564425,39.192175
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,3 + 3,Allocated,5,False,9.889,0.8809636058832914,8.120650000000001,11.601025000000002
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,3 + 3,Allocated,6,False,0.124,0.012618818708008517,0.1,0.148
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,CRM,Recommended,1,False,0.005,0.00221039857533927,0.001,0.01
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,CRM,Recommended,2,False,0.109,0.012227030517475403,0.086,0.133
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,CRM,Recommended,3,True,1.927,0.049075832150879524,1.83,2.022
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,CRM,Recommended,4,False,25.922,0.8960134180001081,24.076500000000003,27.704075
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,CRM,Recommended,5,False,71.901,0.9138651056947119,70.071675,73.765075
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,CRM,Recommended,6,False,0.136,0.027751719459034083,0.088,0.19502499999999998
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,CRM,Allocated,1,False,0.005,0.0022606163731129516,0.001,0.01
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,CRM,Allocated,2,False,0.109,0.012614862891278918,0.085,0.134
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,CRM,Allocated,3,True,1.927,0.052079293810917256,1.829,2.0340249999999997
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,CRM,Allocated,4,False,25.922,0.8604654962717992,24.16735,27.50925
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,CRM,Allocated,5,False,71.901,0.8823297967348755,70.24584999999999,73.682125
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,CRM,Allocated,6,False,0.136,0.027682055563129637,0.086975,0.193
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,UCB,Recommended,1,False,1.031,0.012158621965012642,1.01,1.056
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,UCB,Recommended,2,False,2.209,0.13821422955778548,1.9569750000000001,2.479175
