scenario,scenario_label,horizon,design,metric,dose,is_kstar,mean,se,lo,hi
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,3 + 3,Recommended,3,True,28.185,1.2794275980698169,25.611974999999997,30.74745
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,CRM,Recommended,3,True,1.927,0.049075832150879524,1.83,2.022
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,UCB,Recommended,3,True,42.365,1.0225995985809977,40.32195,44.44005
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA,Recommended,3,True,47.951,1.0639742445929585,45.870975,50.111374999999995
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau,Recommended,3,True,90.516,0.38550299287621165,89.75947500000001,91.2741
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (ours),Recommended,3,True,58.387,0.8310568662847326,56.8578,60.04335
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (fixed),Recommended,3,True,25.884,0.9053236005433083,24.176825,27.695025
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",100,3 + 3,Recommended,3,True,25.026,1.325111425539036,22.470825,27.6942
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",100,CRM,Recommended,3,True,1.883,0.04578095192937296,1.791,1.96705
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",100,UCB,Recommended,3,True,32.701,0.9448210780213745,30.930625,34.590075000000006
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",100,SEEDA,Recommended,3,True,37.102,1.034236826451364,35.100775,39.163174999999995
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",100,SEEDA Plateau,Recommended,3,True,90.594,0.377969776209326,89.822975,91.342275
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",100,SEEDA Plateau (ours),Recommended,3,True,16.376,0.7310308152491545,14.864650000000001,17.763125000000002
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",100,SEEDA Plateau (fixed),Recommended,3,True,3.848,0.3320962805129416,3.21475,4.523199999999999
Optimal dose at MTD-2,"Optimal dose at MTD-2 (k*=2, MTD=4)",100,3 + 3,Recommended,2,True,20.573,1.2429853714378971,18.263975,23.068150000000003
Optimal dose at MTD-2,"Optimal dose at MTD-2 (k*=2, MTD=4)",100,CRM,Recommended,2,True,0.102,0.013011381442684954,0.077975,0.128
Optimal dose at MTD-2,"Optimal dose at MTD-2 (k*=2, MTD=4)",100,UCB,Recommended,2,True,29.152,0.9751917780226217,27.202199999999998,31.033175
Optimal dose at MTD-2,"Optimal dose at MTD-2 (k*=2, MTD=4)",100,SEEDA,Recommended,2,True,31.196,0.954570774894813,29.291625000000003,32.96405
Optimal dose at MTD-2,"Optimal dose at MTD-2 (k*=2, MTD=4)",100,SEEDA Plateau,Recommended,2,True,2.255,0.11004370673687984,2.0389500000000003,2.477175
Optimal dose at MTD-2,"Optimal dose at MTD-2 (k*=2, MTD=4)",100,SEEDA Plateau (ours),Recommended,2,True,65.711,0.9712142704666972,63.8429,67.5292
Optimal dose at MTD-2,"Optimal dose at MTD-2 (k*=2, MTD=4)",100,SEEDA Plateau (fixed),Recommended,2,True,46.271,1.1303348852547292,43.9243,48.509025
Optimal dose at MTD-3,"Optimal dose at MTD-3 (k*=1, MTD=4)",100,3 + 3,Recommended,1,True,4.146,0.5582745052025558,3.069,5.223025
Optimal dose at MTD-3,"Optimal dose at MTD-3 (k*=1, MTD=4)",100,CRM,Recommended,1,True,0.002,0.0013907944885242132,0.0,0.005
Optimal dose at MTD-3,"Optimal dose at MTD-3 (k*=1, MTD=4)",100,UCB,Recommended,1,True,21.629,0.893385265872053,19.90815,23.435299999999998
Optimal dose at MTD-3,"Optimal dose at MTD-3 (k*=1, MTD=4)",100,SEEDA,Recommended,1,True,24.18,0.8468904092763857,22.522675,25.918499999999998
Optimal dose at MTD-3,"Optimal dose at MTD-3 (k*=1, MTD=4)",100,SEEDA Plateau,Recommended,1,True,1.758,0.07721375232138078,1.609925,1.9100499999999998
Optimal dose at MTD-3,"Optimal dose at MTD-3 (k*=1, MTD=4)",100,SEEDA Plateau (ours),Recommended,1,True,72.206,0.9808976865251696,70.181875,74.097325
Optimal dose at MTD-3,"Optimal dose at MTD-3 (k*=1, MTD=4)",100,SEEDA Plateau (fixed),Recommended,1,True,89.308,0.4606814217518953,88.33775,90.16005
Step-function toxicity (misspecified),"Step-function toxicity (misspecified) (k*=3, MTD=6, nominal grid 4)",100,3 + 3,Recommended,3,True,26.546,1.337497200131783,23.784925,29.089074999999998
Step-function toxicity (misspecified),"Step-function toxicity (misspecified) (k*=3, MTD=6, nominal grid 4)",100,CRM,Recommended,3,True,10.451,0.6067949059722847,9.338875,11.696824999999999
Step-function toxicity (misspecified),"Step-function toxicity (misspecified) (k*=3, MTD=6, nominal grid 4)",100,UCB,Recommended,3,True,23.736,0.8462935519499554,22.065775,25.3751
Step-function toxicity (misspecified),"Step-function toxicity (misspecified) (k*=3, MTD=6, nominal grid 4)",100,SEEDA,Recommended,3,True,47.728,0.8986886538131507,45.995525,49.5122
