,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.1,0.15,0.25,0.6,0.01,0.05,0.1,0.15,0.25,0.6
Efficacy prob,0.1,0.2,0.35,0.6,0.6,0.6,0.1,0.2,0.35,0.6,0.6,0.6
3 + 3,"65.44
(46.65)","18.12
(37.07)","9.19
(27.77)","3.58
(17.73)","3.61
(17.97)","0.05
(0.29)","65.44
(46.65)","18.12
(37.07)","9.19
(27.77)","3.58
(17.73)","3.61
(17.97)","0.05
(0.29)"
CRM,"0.86
(4.02)","3.41
(11.02)","9.76
(17.18)","24.21
(32.22)","55.80
(43.23)","5.96
(22.74)","0.86
(4.02)","3.41
(11.02)","9.76
(17.18)","24.21
(32.22)","55.80
(43.23)","5.96
(22.74)"
UCB,"1.66
(3.91)","3.31
(7.74)","7.95
(14.42)","47.49
(31.40)","31.35
(29.29)","8.23
(13.45)","9.53
(0.84)","10.97
(1.16)","13.74
(1.63)","22.13
(2.41)","21.78
(2.46)","21.85
(2.31)"
SEEDA,"17.73
(25.10)","11.53
(16.98)","14.72
(17.76)","43.84
(30.98)","12.17
(21.23)","0.00
(0.00)","12.50
(17.01)","13.68
(12.96)","16.58
(11.85)","41.59
(22.71)","14.66
(16.49)","1.00
(0.00)"
Reference,"36.76
(37.69)","13.93
(16.94)","19.36
(22.74)","28.57
(30.52)","1.38
(3.91)","0.00
(0.00)","22.78
(29.79)","15.86
(17.80)","15.39
(14.73)","30.53
(27.54)","14.44
(24.05)","1.00
(0.00)"
Anchored,"80.95
(31.31)","11.91
(22.75)","4.47
(14.93)","2.63
(12.39)","0.04
(0.58)","0.00
(0.00)","72.98
(34.13)","14.68
(24.47)","6.32
(15.87)","3.87
(12.80)","1.15
(1.32)","1.00
(0.00)"
Descending,"77.35
(25.65)","0.75
(2.65)","2.67
(8.55)","17.99
(24.69)","1.24
(2.34)","0.00
(0.00)","24.82
(31.47)","16.41
(17.34)","16.70
(14.68)","32.60
(27.98)","8.48
(13.33)","1.00
(0.00)"
