,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.1,0.15,0.25,0.6,0.01,0.05,0.1,0.15,0.25,0.6
Efficacy prob,0.1,0.2,0.35,0.6,0.6,0.6,0.1,0.2,0.35,0.6,0.6,0.6
3 + 3,"2.82
(15.49)","11.44
(31.17)","21.34
(40.33)","30.76
(45.41)","33.50
(46.42)","0.14
(0.22)","2.82
(15.49)","11.44
(31.17)","21.34
(40.33)","30.76
(45.41)","33.50
(46.42)","0.14
(0.22)"
CRM,"0.01
(0.05)","0.01
(0.05)","0.47
(0.26)","0.24
(0.54)","97.75
(3.59)","1.53
(3.66)","0.01
(0.05)","0.01
(0.05)","0.47
(0.26)","0.24
(0.54)","97.75
(3.59)","1.53
(3.66)"
UCB,"0.34
(0.05)","0.39
(0.40)","0.91
(1.81)","50.55
(34.94)","47.06
(34.87)","0.76
(1.10)","6.93
(0.52)","8.45
(0.79)","11.82
(1.28)","24.36
(2.39)","24.19
(2.43)","24.26
(2.33)"
SEEDA,"0.58
(0.49)","0.60
(0.62)","0.84
(1.37)","48.65
(34.44)","49.33
(34.37)","0.00
(0.00)","2.11
(0.46)","2.91
(0.83)","5.45
(1.88)","44.48
(12.26)","44.72
(12.30)","0.33
(0.00)"
Reference,"0.49
(0.56)","0.53
(0.72)","1.63
(2.86)","95.15
(8.62)","2.20
(8.17)","0.00
(0.00)","0.50
(0.34)","0.61
(0.50)","2.36
(2.32)","20.01
(22.61)","76.20
(24.51)","0.33
(0.00)"
Anchored,"3.30
(2.62)","2.94
(6.36)","4.76
(7.65)","78.56
(22.06)","10.44
(20.68)","0.00
(0.01)","1.05
(0.71)","1.27
(0.88)","4.92
(2.34)","52.45
(18.89)","39.96
(20.10)","0.34
(0.17)"
Descending,"45.54
(32.73)","0.33
(0.07)","0.48
(3.05)","51.50
(33.33)","2.15
(7.24)","0.00
(0.00)","0.45
(0.29)","0.60
(0.53)","4.68
(2.22)","46.56
(11.88)","47.38
(12.85)","0.33
(0.00)"
