,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.15,0.2,0.45,0.6,0.01,0.05,0.15,0.2,0.45,0.6
Efficacy prob,0.1,0.35,0.6,0.6,0.6,0.6,0.1,0.35,0.6,0.6,0.6,0.6
3 + 3,"9.98
(29.37)","31.49
(45.90)","29.62
(45.01)","26.64
(43.62)","2.26
(14.39)","0.01
(0.05)","9.98
(29.37)","31.49
(45.90)","29.62
(45.01)","26.64
(43.62)","2.26
(14.39)","0.01
(0.05)"
CRM,"0.01
(0.05)","0.09
(0.26)","1.16
(1.40)","96.33
(3.19)","2.41
(3.28)","0.00
(0.03)","0.01
(0.05)","0.09
(0.26)","1.16
(1.40)","96.33
(3.19)","2.41
(3.28)","0.00
(0.03)"
UCB,"0.35
(0.17)","1.17
(2.56)","47.75
(34.58)","49.54
(34.44)","0.78
(1.15)","0.41
(0.33)","6.35
(0.49)","10.53
(1.18)","20.67
(2.11)","20.82
(2.19)","20.83
(2.14)","20.80
(2.09)"
SEEDA,"0.78
(0.82)","1.36
(1.68)","48.19
(33.59)","49.67
(33.58)","0.00
(0.00)","0.00
(0.00)","2.12
(0.43)","5.61
(2.00)","45.74
(12.42)","45.87
(12.49)","0.33
(0.00)","0.33
(0.00)"
Reference,"1.29
(1.65)","1.65
(3.01)","94.47
(9.80)","2.58
(9.28)","0.00
(0.00)","0.00
(0.00)","1.14
(0.84)","3.27
(2.80)","23.33
(22.59)","71.59
(25.19)","0.33
(0.00)","0.33
(0.00)"
Anchored,"3.43
(3.38)","10.40
(15.86)","77.54
(23.07)","8.63
(18.59)","0.00
(0.07)","0.00
(0.00)","1.47
(1.21)","7.70
(12.58)","52.86
(20.97)","37.28
(21.97)","0.36
(0.23)","0.33
(0.00)"
Descending,"44.59
(32.84)","0.81
(4.06)","52.15
(33.40)","2.45
(7.09)","0.00
(0.00)","0.00
(0.00)","0.68
(0.56)","4.76
(2.29)","47.11
(12.02)","46.78
(13.11)","0.33
(0.00)","0.33
(0.00)"
