,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.15,0.2,0.45,0.6,0.01,0.05,0.15,0.2,0.45,0.6
Efficacy prob,0.1,0.6,0.6,0.6,0.6,0.6,0.1,0.6,0.6,0.6,0.6,0.6
3 + 3,"3.95
(16.63)","20.57
(38.71)","27.14
(42.39)","38.37
(46.32)","9.86
(28.07)","0.12
(0.38)","3.95
(16.63)","20.57
(38.71)","27.14
(42.39)","38.37
(46.32)","9.86
(28.07)","0.12
(0.38)"
CRM,"0.00
(0.04)","0.10
(0.41)","1.87
(1.55)","25.13
(27.52)","72.78
(28.04)","0.12
(0.69)","0.00
(0.04)","0.10
(0.41)","1.87
(1.55)","25.13
(27.52)","72.78
(28.04)","0.12
(0.69)"
UCB,"1.02
(0.43)","29.15
(30.60)","29.92
(30.42)","32.00
(30.99)","5.89
(10.00)","2.01
(3.06)","8.54
(0.75)","18.21
(2.21)","18.24
(2.13)","18.29
(2.12)","18.29
(2.14)","18.43
(2.08)"
SEEDA,"1.53
(1.20)","31.20
(30.57)","33.64
(32.27)","33.63
(31.82)","0.00
(0.00)","0.00
(0.00)","3.97
(1.00)","30.85
(10.21)","31.88
(10.30)","31.30
(10.41)","1.00
(0.00)","1.00
(0.00)"
Reference,"1.50
(1.57)","2.25
(3.54)","91.17
(10.45)","5.07
(9.67)","0.00
(0.00)","0.00
(0.00)","2.45
(1.51)","16.98
(16.25)","19.21
(15.60)","59.36
(29.25)","1.00
(0.00)","1.00
(0.00)"
Anchored,"14.46
(21.79)","65.71
(30.48)","11.29
(21.01)","8.51
(18.73)","0.03
(0.42)","0.00
(0.00)","3.19
(1.40)","31.85
(18.12)","35.27
(9.09)","27.54
(18.52)","1.14
(1.32)","1.00
(0.00)"
Descending,"45.19
(35.02)","46.27
(35.91)","3.56
(9.89)","4.98
(8.89)","0.00
(0.00)","0.00
(0.00)","2.98
(1.47)","30.69
(17.28)","35.53
(8.56)","28.80
(17.66)","1.00
(0.00)","1.00
(0.00)"
