,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.15,0.2,0.45,0.6,0.01,0.05,0.15,0.2,0.45,0.6
Efficacy prob,0.1,0.35,0.6,0.6,0.6,0.6,0.1,0.35,0.6,0.6,0.6,0.6
3 + 3,"4.11
(18.96)","23.50
(41.84)","26.20
(43.30)","35.41
(47.12)","10.74
(30.41)","0.05
(0.16)","4.11
(18.96)","23.50
(41.84)","26.20
(43.30)","35.41
(47.12)","10.74
(30.41)","0.05
(0.16)"
CRM,"0.00
(0.04)","0.04
(0.15)","0.60
(0.48)","14.39
(19.90)","84.90
(20.00)","0.06
(0.33)","0.00
(0.04)","0.04
(0.15)","0.60
(0.48)","14.39
(19.90)","84.90
(20.00)","0.06
(0.33)"
UCB,"0.34
(0.08)","0.70
(1.56)","47.17
(34.22)","48.37
(34.41)","2.65
(5.28)","0.77
(1.08)","6.37
(0.47)","10.53
(1.17)","20.79
(2.09)","20.69
(2.07)","20.71
(2.11)","20.91
(2.12)"
SEEDA,"0.53
(0.43)","0.98
(1.18)","49.09
(34.59)","49.41
(34.55)","0.00
(0.00)","0.00
(0.00)","2.13
(0.46)","5.58
(2.00)","45.53
(12.93)","46.09
(12.86)","0.33
(0.00)","0.33
(0.00)"
Reference,"0.56
(0.74)","0.67
(0.91)","95.95
(8.89)","2.82
(8.86)","0.00
(0.00)","0.00
(0.00)","0.98
(0.87)","2.78
(2.74)","22.48
(24.03)","73.09
(26.84)","0.33
(0.00)","0.33
(0.00)"
Anchored,"2.99
(3.56)","8.29
(10.84)","75.13
(23.49)","13.57
(22.72)","0.02
(0.21)","0.00
(0.00)","0.89
(0.56)","4.65
(2.22)","46.66
(12.82)","47.03
(13.85)","0.43
(0.58)","0.33
(0.00)"
Descending,"45.54
(33.67)","0.69
(3.51)","51.11
(33.86)","2.66
(6.91)","0.00
(0.00)","0.00
(0.00)","0.49
(0.29)","4.62
(2.35)","47.96
(12.02)","46.27
(13.18)","0.33
(0.00)","0.33
(0.00)"
