,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.15,0.2,0.45,0.6,0.01,0.05,0.15,0.2,0.45,0.6
Efficacy prob,0.5,0.55,0.6,0.6,0.6,0.6,0.5,0.55,0.6,0.6,0.6,0.6
3 + 3,"4.44
(17.94)","21.34
(39.25)","25.03
(41.27)","37.92
(46.25)","11.14
(29.72)","0.14
(0.43)","4.44
(17.94)","21.34
(39.25)","25.03
(41.27)","37.92
(46.25)","11.14
(29.72)","0.14
(0.43)"
CRM,"0.01
(0.09)","0.11
(0.39)","1.88
(1.39)","26.77
(29.53)","71.05
(29.95)","0.18
(0.95)","0.01
(0.09)","0.11
(0.39)","1.88
(1.39)","26.77
(29.53)","71.05
(29.95)","0.18
(0.95)"
UCB,"6.90
(13.80)","15.78
(23.27)","32.70
(31.30)","35.68
(31.72)","6.64
(11.81)","2.29
(3.37)","14.57
(1.75)","15.88
(1.95)","17.40
(2.01)","17.45
(2.10)","17.36
(2.01)","17.33
(2.02)"
SEEDA,"8.47
(13.83)","16.14
(22.62)","37.10
(32.26)","38.29
(31.97)","0.00
(0.00)","0.00
(0.00)","16.11
(6.23)","21.61
(7.83)","30.31
(9.62)","29.98
(9.55)","1.00
(0.00)","1.00
(0.00)"
Reference,"1.72
(2.21)","2.16
(3.42)","90.59
(12.16)","5.53
(11.40)","0.00
(0.00)","0.00
(0.00)","7.67
(7.90)","11.78
(11.24)","17.83
(15.54)","60.72
(29.55)","1.00
(0.00)","1.00
(0.00)"
Anchored,"52.83
(34.22)","23.25
(26.08)","16.38
(23.90)","7.45
(16.87)","0.09
(0.96)","0.00
(0.00)","12.34
(12.49)","22.74
(12.13)","34.03
(11.48)","28.72
(17.32)","1.17
(1.46)","1.00
(0.00)"
Descending,"88.22
(16.28)","2.94
(9.50)","3.85
(10.30)","5.00
(9.00)","0.00
(0.00)","0.00
(0.00)","10.13
(11.56)","20.96
(11.47)","34.08
(10.70)","32.83
(17.47)","1.00
(0.00)","1.00
(0.00)"
