,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.1,0.15,0.25,0.6,0.01,0.05,0.1,0.15,0.25,0.6
Efficacy prob,0.1,0.2,0.35,0.6,0.6,0.6,0.1,0.2,0.35,0.6,0.6,0.6
3 + 3,"2.92
(13.40)","2.21
(10.50)","1.71
(7.94)","76.31
(38.09)","16.61
(34.58)","0.24
(0.62)","2.92
(13.40)","2.21
(10.50)","1.71
(7.94)","76.31
(38.09)","16.61
(34.58)","0.24
(0.62)"
CRM,"0.00
(0.03)","0.00
(0.00)","1.24
(0.48)","21.68
(7.42)","73.83
(13.43)","3.25
(15.99)","0.00
(0.03)","0.00
(0.00)","1.24
(0.48)","21.68
(7.42)","73.83
(13.43)","3.25
(15.99)"
UCB,"1.05
(0.53)","1.37
(2.10)","3.88
(8.51)","83.85
(13.72)","4.62
(8.05)","5.23
(8.43)","9.51
(0.82)","11.00
(1.15)","13.76
(1.65)","21.91
(2.31)","21.99
(2.39)","21.83
(2.38)"
SEEDA,"5.85
(8.51)","12.19
(14.06)","14.15
(15.02)","45.68
(31.78)","22.14
(13.78)","0.00
(0.00)","7.75
(4.55)","11.88
(7.29)","16.41
(8.00)","34.12
(14.26)","28.84
(5.84)","1.00
(0.00)"
Reference,"17.54
(16.60)","21.31
(14.98)","12.34
(13.10)","46.09
(19.70)","2.72
(4.44)","0.00
(0.00)","10.09
(6.30)","15.52
(9.24)","18.93
(8.87)","24.47
(15.44)","29.98
(5.50)","1.00
(0.00)"
Anchored,"23.55
(15.60)","13.79
(14.04)","17.44
(20.65)","40.55
(23.36)","4.58
(8.29)","0.09
(1.39)","10.00
(7.93)","13.37
(9.95)","13.74
(8.55)","33.18
(15.77)","28.49
(5.68)","1.23
(2.01)"
Descending,"71.08
(26.62)","0.99
(1.02)","2.82
(8.04)","21.21
(25.55)","3.91
(8.30)","0.00
(0.00)","6.97
(6.64)","11.43
(8.81)","16.18
(8.42)","34.86
(15.89)","29.56
(6.27)","1.00
(0.00)"
