,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.15,0.2,0.45,0.6,0.01,0.05,0.15,0.2,0.45,0.6
Efficacy prob,0.1,0.35,0.6,0.6,0.6,0.6,0.1,0.35,0.6,0.6,0.6,0.6
3 + 3,"1.93
(9.27)","51.93
(48.16)","26.55
(41.99)","11.04
(29.84)","8.36
(26.48)","0.19
(0.73)","1.93
(9.27)","51.93
(48.16)","26.55
(41.99)","11.04
(29.84)","8.36
(26.48)","0.19
(0.73)"
CRM,"0.05
(0.22)","0.53
(0.93)","10.45
(19.27)","45.03
(43.16)","23.93
(38.47)","20.01
(36.85)","0.05
(0.22)","0.53
(0.93)","10.45
(19.27)","45.03
(43.16)","23.93
(38.47)","20.01
(36.85)"
UCB,"1.03
(0.48)","2.15
(4.60)","23.74
(26.37)","22.09
(25.40)","23.12
(25.73)","27.89
(28.01)","8.94
(0.76)","12.57
(1.51)","19.79
(2.30)","19.49
(2.28)","19.48
(2.19)","19.73
(2.22)"
SEEDA,"2.51
(2.93)","12.28
(13.30)","47.73
(28.98)","37.49
(31.24)","0.00
(0.00)","0.00
(0.00)","4.96
(1.96)","13.17
(7.39)","42.17
(12.92)","37.70
(14.45)","1.00
(0.00)","1.00
(0.00)"
Reference,"11.21
(12.17)","11.83
(14.05)","72.53
(20.01)","4.43
(8.08)","0.00
(0.00)","0.00
(0.00)","4.22
(2.96)","12.52
(10.10)","29.15
(18.81)","52.11
(26.41)","1.00
(0.00)","1.00
(0.00)"
Anchored,"11.72
(8.93)","28.27
(19.97)","51.27
(22.78)","8.65
(17.12)","0.09
(2.38)","0.00
(0.00)","5.96
(3.42)","19.70
(10.43)","45.93
(17.93)","26.33
(17.72)","1.09
(2.06)","1.00
(0.00)"
Descending,"63.36
(27.79)","4.91
(12.94)","27.38
(27.46)","4.36
(6.38)","0.00
(0.00)","0.00
(0.00)","4.36
(3.39)","15.26
(9.86)","42.51
(12.89)","35.86
(15.74)","1.00
(0.00)","1.00
(0.00)"
