panel,design,offset,pct_of_rounds,ci_lo,ci_hi
L1 binds,Algorithm 2,,100.0,100.0,100.0
rec - L2,Algorithm 2,-5,9.00531914893617,8.3975,9.626702127659573
rec - L2,Algorithm 2,-4,27.95851063829787,26.35210106382979,29.589654255319143
rec - L2,Algorithm 2,-3,57.26808510638298,55.43712765957448,59.14579787234043
rec - L2,Algorithm 2,-2,5.762765957446809,4.644627659574469,6.915319148936169
rec - L2,Algorithm 2,-1,0.005319148936170213,0.0,0.01595744680851064
rec - L2,Algorithm 2,0,0.0,0.0,0.0
L1 binds,MATLAB,,29.789361702127657,27.72848404255319,31.967659574468087
rec - L2,MATLAB,-5,0.0,0.0,0.0
rec - L2,MATLAB,-4,0.0,0.0,0.0
rec - L2,MATLAB,-3,0.0,0.0,0.0
rec - L2,MATLAB,-2,0.0,0.0,0.0
rec - L2,MATLAB,-1,29.789361702127657,27.72848404255319,31.967659574468087
rec - L2,MATLAB,0,70.21063829787235,68.03234042553191,72.27151595744681
L1 binds,Reference,,96.67978723404255,95.8521010638298,97.42662234042557
rec - L2,Reference,-5,0.0,0.0,0.0
rec - L2,Reference,-4,0.0,0.0,0.0
rec - L2,Reference,-3,0.0,0.0,0.0
rec - L2,Reference,-2,0.0,0.0,0.0
rec - L2,Reference,-1,96.67978723404255,95.8521010638298,97.42662234042557
rec - L2,Reference,0,3.320212765957447,2.5733776595744686,4.147898936170214
