panel,design,offset,pct_of_rounds,ci_lo,ci_hi
L1 binds,Algorithm 2,,100.0,100.0,100.0
rec - L2,Algorithm 2,-5,9.00531914893617,8.3975,9.626702127659573
rec - L2,Algorithm 2,-4,27.95851063829787,26.35210106382979,29.589654255319143
rec - L2,Algorithm 2,-3,57.26808510638298,55.43712765957448,59.14579787234043
rec - L2,Algorithm 2,-2,5.762765957446809,4.644627659574469,6.915319148936169
rec - L2,Algorithm 2,-1,0.005319148936170213,0.0,0.01595744680851064
rec - L2,Algorithm 2,0,0.0,0.0,0.0
L1 binds,MATLAB,,29.789361702127657,27.72848404255319,31.967659574468087
rec - L2,MATLAB,-5,0.0,0.0,0.0
rec - L2,MATLAB,-4,0.0,0.0,0.0
rec - L2,MATLAB,-3,0.0,0.0,0.0
rec - L2,MATLAB,-2,0.0,0.0,0.0
rec - L2,MATLAB,-1,29.789361702127657,27.72848404255319,31.967659574468087
rec - L2,MATLAB,0,70.21063829787235,68.03234042553191,72.27151595744681
L1 binds,Reference,,96.67978723404255,95.8521010638298,97.42662234042557
rec - L2,Reference,-5,0.0,0.0,0.0
rec - L2,Reference,-4,0.0,0.0,0.0
rec - L2,Reference,-3,0.0,0.0,0.0
rec - L2,Reference,-2,0.0,0.0,0.0
rec - L2,Reference,-1,96.67978723404255,95.8521010638298,97.42662234042557
rec - L2,Reference,0,3.320212765957447,2.5733776595744686,4.147898936170214
L1 binds,Descending,,96.66914893617022,95.98617021276597,97.35433510638299
rec - L2,Descending,-5,0.0,0.0,0.0
rec - L2,Descending,-4,0.0,0.0,0.0
rec - L2,Descending,-3,67.95,65.95531914893617,69.94167553191488
rec - L2,Descending,-2,1.602127659574468,1.2563297872340426,1.9841489361702132
rec - L2,Descending,-1,27.117021276595743,25.26872340425532,29.057632978723404
rec - L2,Descending,0,3.3308510638297872,2.6456648936170217,4.013829787234042
L1 binds,Anchored,,80.80974605353467,79.25846574010524,82.31207532601235
rec - L2,Anchored,-5,0.0,0.0,0.0
rec - L2,Anchored,-4,0.18085106382978722,0.11061170212765957,0.26382978723404255
rec - L2,Anchored,-3,3.3099061999542436,2.808942747654999,3.8601913177762524
rec - L2,Anchored,-2,15.322317547471975,14.038229524136355,16.66852951269733
rec - L2,Anchored,-1,62.004118050789295,60.239603065660035,63.65706817661862
rec - L2,Anchored,0,19.182807137954704,17.68399279341112,20.733103408830928
