design,comparison,true_gap,cohort,ratio_mean,ci_lo,ci_hi
Algorithm 2,Doses 1–2,0.24999999999999997,1,,,
Algorithm 2,Doses 1–2,0.24999999999999997,2,,,
Algorithm 2,Doses 1–2,0.24999999999999997,3,6.1825724427780955,6.182572442778041,6.182572442778044
Algorithm 2,Doses 1–2,0.24999999999999997,4,6.846468017635675,6.846468017635516,6.846468017635518
Algorithm 2,Doses 1–2,0.24999999999999997,5,7.280888809900972,7.280888809901169,7.28088880990117
Algorithm 2,Doses 1–2,0.24999999999999997,6,7.600772172846331,7.600772172846248,7.600772172846251
Algorithm 2,Doses 1–2,0.24999999999999997,7,7.852468667142412,7.852468667142294,7.852468667142298
Algorithm 2,Doses 1–2,0.24999999999999997,8,7.8596850055911265,7.832539614292144,7.888040137154614
Algorithm 2,Doses 1–2,0.24999999999999997,9,7.946765316337176,7.914872813485255,7.981203487408783
Algorithm 2,Doses 1–2,0.24999999999999997,10,8.0171923477511,7.975998187748216,8.057526603620353
Algorithm 2,Doses 1–2,0.24999999999999997,11,8.094143592974136,8.050336688249157,8.136972013483934
Algorithm 2,Doses 1–2,0.24999999999999997,12,8.104814239552095,8.057521136746207,8.152698805048784
Algorithm 2,Doses 1–2,0.24999999999999997,13,8.091493745991317,8.041718164294865,8.142722269912298
Algorithm 2,Doses 1–2,0.24999999999999997,14,8.124160351639365,8.070918294726548,8.17829444774941
Algorithm 2,Doses 1–2,0.24999999999999997,15,8.130496410379795,8.074780566258427,8.18626375503149
Algorithm 2,Doses 1–2,0.24999999999999997,16,8.143107707031374,8.082021326610151,8.19918770770317
Algorithm 2,Doses 1–2,0.24999999999999997,17,8.165313841086942,8.103378435207446,8.22312732715155
Algorithm 2,Doses 1–2,0.24999999999999997,18,8.163747287060785,8.103904837684933,8.224191220967802
Algorithm 2,Doses 1–2,0.24999999999999997,19,8.158986113709586,8.094111408506633,8.222566259125939
Algorithm 2,Doses 1–2,0.24999999999999997,20,8.147816311749608,8.083968552752543,8.210214523768764
Algorithm 2,Doses 1–2,0.24999999999999997,21,8.138937249953289,8.07326347158125,8.20091554542511
Algorithm 2,Doses 1–2,0.24999999999999997,22,8.117761094296633,8.054283618706757,8.180411773236111
Algorithm 2,Doses 1–2,0.24999999999999997,23,8.118962945103029,8.054563365636026,8.18396039749926
Algorithm 2,Doses 1–2,0.24999999999999997,24,8.114513222738877,8.047198066770433,8.17965508846772
Algorithm 2,Doses 1–2,0.24999999999999997,25,8.104752372375641,8.036644952595697,8.172760612368824
Algorithm 2,Doses 1–2,0.24999999999999997,26,8.108744274064867,8.039825365649767,8.177436777513357
Algorithm 2,Doses 1–2,0.24999999999999997,27,8.114920480991177,8.04523309096959,8.18440248319169
Algorithm 2,Doses 1–2,0.24999999999999997,28,8.107530808645123,8.036951571585456,8.174011019465615
Algorithm 2,Doses 1–2,0.24999999999999997,29,8.108498812504454,8.037315043925451,8.176768386540852
Algorithm 2,Doses 1–2,0.24999999999999997,30,8.10637900382739,8.034109784756106,8.178191015373006
Algorithm 2,Doses 1–2,0.24999999999999997,31,8.104079697300653,8.03097279861862,8.17485610624561
Algorithm 2,Doses 1–2,0.24999999999999997,32,8.103737704552337,8.030505798753628,8.175231405196893
Algorithm 2,Doses 1–2,0.24999999999999997,33,8.0950268166036,8.020673250486015,8.168290676603675
Algorithm 2,Doses 1–2,0.24999999999999997,34,8.091246141820111,8.015502739490728,8.166260805305246
Algorithm 2,Doses 1–2,0.24999999999999997,35,8.083314425453047,8.00585758391396,8.15867722522769
Algorithm 2,Doses 1–2,0.24999999999999997,36,8.080521573322924,8.002164860619908,8.158971389514544
Algorithm 2,Doses 1–2,0.24999999999999997,37,8.081225884379176,8.003602868909477,8.158814700276148
Algorithm 2,Doses 1–2,0.24999999999999997,38,8.081409257879315,8.003085390968739,8.159453652178113
Algorithm 2,Doses 1–2,0.24999999999999997,39,8.083291667379918,8.006815388507155,8.161181072103677
Algorithm 2,Doses 1–2,0.24999999999999997,40,8.07647437207475,7.997099562110504,8.154529199115641
