,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.15,0.2,0.45,0.6,0.01,0.05,0.15,0.2,0.45,0.6
Efficacy prob,0.1,0.35,0.6,0.6,0.6,0.6,0.1,0.35,0.6,0.6,0.6,0.6
3 + 3,"4.73
(18.64)","20.37
(38.55)","28.17
(42.95)","37.17
(46.09)","9.45
(27.58)","0.11
(0.36)","4.73
(18.64)","20.37
(38.55)","28.17
(42.95)","37.17
(46.09)","9.45
(27.58)","0.11
(0.36)"
CRM,"0.00
(0.03)","0.11
(0.44)","1.91
(1.63)","25.50
(28.32)","72.30
(28.83)","0.17
(0.84)","0.00
(0.03)","0.11
(0.44)","1.91
(1.63)","25.50
(28.32)","72.30
(28.83)","0.17
(0.84)"
UCB,"1.02
(0.29)","2.35
(4.90)","42.55
(32.99)","44.88
(32.78)","6.92
(12.13)","2.29
(3.47)","8.87
(0.78)","12.74
(1.48)","19.61
(2.23)","19.68
(2.33)","19.59
(2.27)","19.52
(2.37)"
SEEDA,"1.63
(1.44)","2.72
(3.04)","46.76
(34.37)","48.88
(34.25)","0.00
(0.00)","0.00
(0.00)","4.21
(1.04)","9.55
(3.52)","42.10
(12.58)","42.14
(12.61)","1.00
(0.00)","1.00
(0.00)"
Algorithm 2,"84.23
(27.15)","11.75
(27.11)","1.01
(0.32)","1.00
(0.00)","1.00
(0.00)","1.00
(0.00)","1.14
(0.44)","6.77
(4.00)","37.31
(14.20)","38.65
(13.93)","13.11
(14.06)","3.02
(4.43)"
MATLAB,"2.43
(2.71)","3.54
(4.76)","30.78
(32.02)","61.25
(33.69)","1.00
(0.00)","1.00
(0.00)","4.11
(2.68)","7.63
(6.10)","16.69
(16.88)","69.57
(24.53)","1.00
(0.00)","1.00
(0.00)"
Reference,"1.73
(2.25)","1.93
(2.84)","90.71
(11.38)","5.64
(10.79)","0.00
(0.00)","0.00
(0.00)","2.19
(1.63)","5.14
(4.45)","22.41
(20.59)","68.26
(24.93)","1.00
(0.00)","1.00
(0.00)"
