a_max,design,alloc_d1,alloc_d2,alloc_d3,alloc_d4,alloc_d5,alloc_d6,rec_d1,rec_d2,rec_d3,rec_d4,rec_d5,rec_d6,type1,type2
5,3 + 3,20.336633663366335,22.91089108910891,24.594059405940595,18.495049504950494,11.306930693069308,2.3564356435643563,3.9440000000000004,23.197000000000003,27.607,35.709999999999994,9.423,0.11900000000000001,,
5,CRM,0.008,0.121,1.883,26.891,70.947,0.15,0.008,0.121,1.883,26.891,70.947,0.15,0.11808510638297873,0.6718085106382978
5,UCB,8.854,12.584000000000001,19.579,19.758,19.691,19.534000000000002,1.028,1.92,41.094,46.389,7.391,2.178,1.4050531914893618,10.867021276595745
5,SEEDA,95.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0
5,SEEDA Plateau,95.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0
10,3 + 3,20.21110242376857,21.931196247068023,24.237685691946833,18.666927286942926,12.079749804534792,2.8733385457388585,3.6609999999999996,20.759,25.61,38.291,11.532,0.147,,
10,CRM,0.005,0.134,1.955,27.141,70.63000000000001,0.135,0.005,0.134,1.955,27.141,70.63000000000001,0.135,0.1502659574468085,0.7409574468085106
10,UCB,8.888,12.608,19.753999999999998,19.694,19.604,19.451999999999998,1.0170000000000001,1.9220000000000002,44.401,43.974000000000004,6.451,2.235,1.202659574468085,11.333510638297872
10,SEEDA,12.537999999999998,79.645,4.817,1.0,1.0,1.0,2.927,97.073,0.0,0.0,0.0,0.0,48.462765957446805,0.0
10,SEEDA Plateau,7.961,88.039,1.0,1.0,1.0,1.0,69.556,30.444,0.0,0.0,0.0,0.0,50.00930851063829,0.0
15,3 + 3,20.27375520730014,22.25748859353303,24.955365998809757,18.924816504661774,11.58500297560008,2.0035707200952193,3.5520000000000005,20.842,28.499000000000002,38.864,8.142000000000001,0.101,,
15,CRM,0.008,0.104,1.915,26.148,71.654,0.17099999999999999,0.008,0.104,1.915,26.148,71.654,0.17099999999999999,0.12234042553191489,0.8452127659574469
15,UCB,8.896999999999998,12.629000000000001,19.547,19.677,19.686,19.564,1.023,2.251,41.043,46.922999999999995,6.6739999999999995,2.086,1.1952127659574467,10.700531914893617
15,SEEDA,4.284000000000001,9.466,42.349,41.900999999999996,1.0,1.0,1.704,2.945,47.913,47.438,0.0,0.0,0.5321808510638298,0.0
15,SEEDA Plateau,2.311,5.564,24.881,65.244,1.0,1.0,1.87,1.966,89.764,6.4,0.0,0.0,0.6864361702127659,0.0
20,3 + 3,20.19325576809308,22.204693354367976,24.3738907513311,18.79313744823506,12.265825281009663,2.1691973969631237,4.532,20.092,26.269,39.231,9.766,0.11,,
20,CRM,0.002,0.11800000000000001,1.771,25.716,72.275,0.11800000000000001,0.002,0.11800000000000001,1.771,25.716,72.275,0.11800000000000001,0.08936170212765956,0.7037234042553192
20,UCB,8.913,12.604000000000001,19.692,19.529,19.587,19.675,1.006,2.027,43.391000000000005,44.599,6.691,2.286,1.1523936170212765,10.396276595744682
20,SEEDA,4.22,9.496,42.370000000000005,41.914,1.0,1.0,1.669,2.833,47.997,47.501,0.0,0.0,0.49680851063829784,0.0
20,SEEDA Plateau,2.2689999999999997,5.4030000000000005,23.399,66.929,1.0,1.0,1.729,2.001,90.874,5.396,0.0,0.0,0.6513297872340426,0.0
25,3 + 3,20.35833825556212,22.4847410907659,24.000787556605633,19.039180941130144,11.813349084465447,2.303603071470762,4.729,21.446,26.715,37.071,9.922,0.117,,
25,CRM,0.008,0.097,1.836,26.246000000000002,71.653,0.16,0.008,0.097,1.836,26.246000000000002,71.653,0.16,0.10585106382978723,0.8617021276595745
