implementation,n_cohorts,l1_mode,l1_coefficient,readout,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6
"Shen et al. (2020), Table 2",,,,,0.8,2.2,86.6,10.4,0.0,0.0
Algorithm 2,100,,,final round,91.2,8.799999999999999,0.0,0.0,0.0,0.0
Algorithm 2,100,,,trial-averaged,86.85000000000113,9.150000000000079,0.9999999999999832,0.9999999999999832,0.9999999999999832,0.9999999999999832
Algorithm 2 (no-log bonus),100,,,final round,92.7,7.3,0.0,0.0,0.0,0.0
Algorithm 2 (no-log bonus),100,,,trial-averaged,88.02000000000125,7.980000000000037,0.9999999999999832,0.9999999999999832,0.9999999999999832,0.9999999999999832
Algorithm 2,300,,,final round,89.5,10.5,0.0,0.0,0.0,0.0
Algorithm 2,300,,,trial-averaged,88.70800000000078,9.956666666666528,0.3353333333333383,0.33333333333333837,0.33333333333333837,0.33333333333333837
Algorithm 2 (no-log bonus),300,,,final round,93.5,5.5,0.0,1.0,0.0,0.0
Algorithm 2 (no-log bonus),300,,,trial-averaged,90.28400000000074,8.269333333333199,0.3353333333333383,0.4446666666666688,0.33333333333333837,0.33333333333333837
MATLAB,100,min,0.2,final round,0.0,0.0,29.599999999999998,70.39999999999999,0.0,0.0
MATLAB,100,min,0.2,trial-averaged,2.3910000000000218,3.3860000000000277,30.373999999999967,61.84899999999994,0.9999999999999832,0.9999999999999832
MATLAB,100,min,0.4,final round,0.0,0.0,42.4,57.599999999999994,0.0,0.0
MATLAB,100,min,0.4,trial-averaged,3.0890000000000355,3.625000000000025,43.38399999999991,47.901999999999866,0.9999999999999832,0.9999999999999832
MATLAB,100,sum,0.2,final round,0.0,0.0,64.5,35.5,0.0,0.0
MATLAB,100,sum,0.2,trial-averaged,3.2960000000000313,3.6300000000000257,59.569999999999965,31.50399999999991,0.9999999999999832,0.9999999999999832
MATLAB,100,sum,0.4,final round,0.0,0.0,83.0,17.0,0.0,0.0
MATLAB,100,sum,0.4,trial-averaged,4.019000000000006,4.123000000000002,75.53000000000006,14.328000000000083,0.9999999999999832,0.9999999999999832
MATLAB,300,min,0.2,final round,0.0,0.0,29.099999999999998,70.89999999999999,0.0,0.0
MATLAB,300,min,0.2,trial-averaged,0.8036666666666553,1.0846666666666651,30.45633333333326,66.98866666666696,0.33333333333333837,0.33333333333333837
MATLAB,300,min,0.4,final round,0.0,0.0,38.1,61.9,0.0,0.0
MATLAB,300,min,0.4,trial-averaged,1.0546666666666673,1.1449999999999996,41.61033333333336,55.52333333333325,0.33333333333333837,0.33333333333333837
MATLAB,300,sum,0.2,final round,0.0,0.0,63.1,36.9,0.0,0.0
MATLAB,300,sum,0.2,trial-averaged,1.1156666666666688,1.1493333333333335,62.93500000000017,34.13333333333316,0.33333333333333837,0.33333333333333837
MATLAB,300,sum,0.4,final round,0.0,0.0,82.0,18.0,0.0,0.0
MATLAB,300,sum,0.4,trial-averaged,1.3146666666666704,1.3410000000000069,81.06100000000046,15.616666666666514,0.33333333333333837,0.33333333333333837
