misspecified,design,accuracy,stratified,n_scenarios,mean_patients,sd_across_scenarios,ci_lo,ci_hi,censored_frac,gap
False,UCB,0.0,False,100,21.0,0.0,21.0,21.0,0.0,
False,UCB,0.1,False,100,26.52,14.57719264654705,24.7185,29.7615,0.01,
False,UCB,0.2,False,100,35.4,24.01514673549326,31.7385,40.3815,0.01,
False,UCB,0.3,False,100,95.28,117.08048513736182,73.3785,119.406,0.19,
False,UCB,0.4,False,100,156.03,160.52385549138228,124.46325,186.78825,0.29,
False,UCB,0.5,False,100,246.87,173.99231696726255,211.4925,282.9315,0.54,
False,UCB,0.6,False,100,328.05,169.78027243790993,296.9655,359.3445,0.66,
False,UCB,0.7,False,100,366.57,152.1600204330356,336.861,394.80225,0.75,
False,UCB,0.8,False,100,398.43,125.49878304371938,371.85,421.662,0.81,
False,UCB,0.9,False,100,427.17,92.35297406246222,407.96925000000005,443.76225,0.92,
False,SEEDA,0.0,False,100,21.0,0.0,21.0,21.0,0.0,
False,SEEDA,0.1,False,100,24.3,1.314257481345542,24.06,24.6,0.0,
False,SEEDA,0.2,False,100,31.08,23.73918892694296,27.54,36.18,0.02,
False,SEEDA,0.3,False,100,66.6,101.59276996465304,49.017,87.0015,0.11,
False,SEEDA,0.4,False,100,140.13,166.61730511455394,107.74125000000001,172.83375,0.29,
False,SEEDA,0.5,False,100,212.34,182.90662297268716,178.18875,250.083,0.49,
False,SEEDA,0.6,False,100,284.04,194.66842672512757,245.88,323.91450000000003,0.57,
False,SEEDA,0.7,False,100,310.56,184.4034509635672,272.24175,345.72150000000005,0.64,
False,SEEDA,0.8,False,100,349.14,167.14053966647347,314.99175,379.15799999999996,0.7,
False,SEEDA,0.9,False,100,377.7,154.51831312472024,346.788,406.02675,0.78,
False,SEEDA Plateau,0.0,False,100,21.0,0.0,21.0,21.0,0.0,
False,SEEDA Plateau,0.1,False,100,128.82,166.88690781484328,98.019,165.0045,0.24,
False,SEEDA Plateau,0.2,False,100,187.26,190.11775298482777,152.06475,224.706,0.35,
False,SEEDA Plateau,0.3,False,100,215.79,194.4237429384123,178.22775,250.50075,0.39,
False,SEEDA Plateau,0.4,False,100,242.7,199.83288472666808,203.9865,283.131,0.45,
False,SEEDA Plateau,0.5,False,100,260.85,200.59383431111826,221.63324999999998,299.1315,0.51,
False,SEEDA Plateau,0.6,False,100,275.82,199.40995689556456,237.7335,313.128,0.54,
False,SEEDA Plateau,0.7,False,100,288.99,195.49566607611908,251.838,324.51824999999997,0.56,
False,SEEDA Plateau,0.8,False,100,309.0,187.3018953454556,270.765,345.6675,0.62,
False,SEEDA Plateau,0.9,False,100,336.6,178.08884401791246,301.7925,371.46074999999996,0.68,
False,SEEDA Plateau (ours),0.0,False,100,21.0,0.0,21.0,21.0,0.0,
False,SEEDA Plateau (ours),0.1,False,100,47.52,69.00160735940734,35.5185,62.04,0.04,
False,SEEDA Plateau (ours),0.2,False,100,81.3,118.92587454529664,59.21475,107.13149999999999,0.11,
False,SEEDA Plateau (ours),0.3,False,100,105.39,140.72646258869466,79.88775,134.52075000000002,0.16,
False,SEEDA Plateau (ours),0.4,False,100,135.69,162.78254038607903,103.85925,168.1335,0.22,
False,SEEDA Plateau (ours),0.5,False,100,157.62,172.36189201265404,123.61274999999999,192.642,0.24,
False,SEEDA Plateau (ours),0.6,False,100,179.73,181.92860487764773,142.30575,215.9895,0.3,
False,SEEDA Plateau (ours),0.7,False,100,203.13,186.27755195845893,168.74775,240.67049999999998,0.37,
False,SEEDA Plateau (ours),0.8,False,100,248.4,186.22176418062807,209.54175,284.43,0.49,
False,SEEDA Plateau (ours),0.9,False,100,348.36,161.6091131543808,315.38624999999996,379.32,0.73,
